0,530702035,400,193,145,104,0.0208333,0.26,BB84
1,1013994432,400,202,151,135,0,0.3375,BB84
2,1376693511,400,198,148,132,0,0.33,BB84
3,1877166739,400,175,131,74,0.0454545,0.185,BB84
4,419000713,400,194,145,129,0,0.3225,BB84
5,385778404,400,199,149,91,0.04,0.2275,BB84
6,2083182910,400,202,151,110,0.0196078,0.275,BB84
7,1322904761,400,207,155,82,0.0576923,0.205,BB84
8,1813982911,400,199,149,91,0.04,0.2275,BB84
9,57217601,400,217,163,147,0,0.3675,BB84
9,1065586426,800,414,310,266,0.00961538,0.3325,BB84
9,254189238,800,373,280,215,0.0215054,0.26875,BB84
9,207612635,800,373,280,264,0,0.33,BB84
9,1065586426,800,414,310,266,0.00961538,0.3325,BB84
9,254189238,800,373,280,215,0.0215054,0.26875,BB84
9,207612635,800,373,280,264,0,0.33,BB84
9,1065586426,800,414,310,266,0.00961538,0.3325,BB84
9,254189238,800,373,280,215,0.0215054,0.26875,BB84
9,207612635,800,373,280,264,0,0.33,BB84
9,1065586426,800,414,310,266,0.00961538,0.3325,BB84
9,254189238,800,373,280,215,0.0215054,0.26875,BB84
9,1065586426,800,414,310,266,0.00961538,0.3325,BB84
9,254189238,800,373,280,215,0.0215054,0.26875,BB84
9,207612635,800,373,280,264,0,0.33,BB84
9,1065586426,800,414,310,266,0.00961538,0.3325,BB84
9,254189238,800,373,280,215,0.0215054,0.26875,BB84
9,207612635,800,373,280,264,0,0.33,BB84
0,530702035,800,365,274,258,0,0.3225,BB84
