0,1749670465,800,298,223,92,0.0933333,0.115,SARG04
1,1013994432,800,275,206,89,0.0869565,0.11125,SARG04
2,1090254041,800,275,206,77,0.101449,0.09625,SARG04
3,521574770,800,261,196,79,0.0923077,0.09875,SARG04
4,1565423422,800,285,214,95,0.084507,0.11875,SARG04
5,1146156486,800,303,227,84,0.105263,0.105,SARG04
6,389191008,800,300,225,93,0.0933333,0.11625,SARG04
7,644054670,800,272,204,75,0.102941,0.09375,SARG04
8,1228691743,800,268,201,73,0.104478,0.09125,SARG04
9,1267507537,800,300,225,104,0.08,0.13,SARG04
