runId,Nraw,L,MMSR,totalOutage,MST
0,800,258,0.00425532,234,56
1,800,248,0,600,130
2,800,294,0.00165289,604,131
3,800,269,0.00165289,604,130
4,800,286,0.00165289,604,130
5,800,261,0.00166667,599,130
6,800,285,0.00165289,604,131
7,800,275,0.00425532,234,56
8,800,258,0.00416667,239,57
9,800,257,0.0047619,209,50
